A,B,C,b_limite,Volumen,Area,Energia
4.3,0.5,5.45,6.942,103.452,135.8071,20.067268700822808
4.3,0.5,5.5,6.98,107.776,138.9837,20.107333207844093
4.35,0.5,5.5,7.012,105.9341,138.1213,20.056823331496233
4.35,0.5,5.55,7.05,110.3359,141.331,20.09620272399192
4.4,0.5,5.5,7.042,104.0586,137.2046,32.10763645720347
4.4,0.5,5.55,7.082,108.4531,140.4531,32.129233489239766
4.45,0.5,5.5,7.074,102.1493,136.2715,19.96420849533867
4.45,0.5,5.55,7.112,106.5364,139.5212,19.999855065100558
4.5,0.5,5.55,7.144,104.5855,138.5721,19.956117347197356
4.5,0.5,5.6,7.184,109.0509,141.875,19.99100657323832
4.55,0.5,5.55,7.176,102.5999,137.585,32.059117676352
4.55,0.5,5.6,7.214,107.058,140.8906,19.948294172762363
4.6,0.5,5.6,7.246,105.0298,139.8873,32.055978296582985
4.65,0.5,5.6,7.278,102.9664,138.8435,19.8740211575386
4.7,0.5,5.65,7.348,105.3893,141.147,19.868549384567018
4.75,0.5,5.65,7.38,103.2464,140.0437,32.029757674614146
4.85,0.5,5.7,7.484,103.4373,141.2007,19.81192130584254
4.15,0.55,5.15,6.614,102.1589,132.5519,20.808283634122848
4.2,0.55,5.2,6.684,104.7608,134.9443,20.800754293367234
4.25,0.55,5.2,6.714,102.6632,133.9039,20.764843331814422
4.3,0.55,5.25,6.786,105.2583,136.3165,20.758892080566135
4.35,0.55,5.25,6.816,103.0725,135.2154,20.729609425511573
4.35,0.55,5.3,6.856,107.8943,138.7268,20.75323063442145
4.4,0.55,5.3,6.888,105.6596,137.6292,20.725223356383605
4.4,0.55,5.35,6.926,110.5717,141.1568,20.74784260530598
4.45,0.55,5.3,6.92,103.3842,136.4858,20.703376985112207
4.45,0.55,5.35,6.958,108.2876,140.0412,20.721088799266028
4.5,0.55,5.35,6.99,105.9621,138.8791,32.59577495576731
4.55,0.55,5.35,7.022,103.5947,137.6676,20.687081841307684
4.55,0.55,5.4,7.06,108.5806,141.2918,20.697916285765267
4.6,0.55,5.4,7.092,106.1622,140.0613,20.685750714635162
4.65,0.55,5.4,7.126,103.701,138.8,32.619073029135485
4.7,0.55,5.45,7.196,106.2567,141.1934,20.681953364092273
4.75,0.55,5.45,7.228,103.7001,139.8337,20.688774017884818
4.85,0.55,5.5,7.332,103.5885,140.8062,32.69083151664307
4.95,0.55,5.55,7.436,103.3633,141.69,32.74887460350915
4.2,0.6,5.0,6.528,103.2112,133.2614,25.544448280863335
4.3,0.6,5.05,6.632,103.427,134.4995,25.552386961421693
4.35,0.6,5.1,6.702,106.1447,136.9769,36.19435418644662
4.4,0.6,5.1,6.734,103.5254,135.6363,25.57450437831401
4.4,0.6,5.15,6.772,108.9078,139.4752,25.556596014147985
4.45,0.6,5.15,6.806,106.23,138.1381,25.578178443000454
4.5,0.6,5.15,6.838,103.503,136.7146,25.612572077505966
4.5,0.6,5.2,6.876,108.9792,140.6364,25.582016969492383
4.55,0.6,5.2,6.908,106.1925,139.1906,25.617875322908155
4.6,0.6,5.2,6.942,103.3556,137.703,25.66875854553735
4.6,0.6,5.25,6.98,108.9267,141.713,25.62331242485761
4.65,0.6,5.25,7.012,106.0289,140.1778,36.356344822104454
4.7,0.6,5.25,7.046,103.0797,138.5945,36.438399038565514
4.75,0.6,5.3,7.116,105.7351,141.0666,25.754165681275797
4.8,0.6,5.3,7.15,102.6713,139.3797,25.846940844451435
4.85,0.6,5.35,7.22,105.3074,141.8485,36.56375344933393
4.9,0.6,5.35,7.254,102.1266,140.0481,36.695553171574396
4.3,0.65,4.9,6.518,103.5444,134.3672,26.345143002976037
4.35,0.65,4.95,6.588,106.3784,136.927,26.35397136735324
4.4,0.65,4.95,6.622,103.3389,135.358,36.98287294699483
4.4,0.65,5.0,6.66,109.2619,139.5375,36.89741249630507
4.45,0.65,5.0,6.692,106.154,137.9164,26.448775885472358
4.5,0.65,5.0,6.726,102.9884,136.2426,26.558892618404947
4.5,0.65,5.05,6.764,109.0182,140.5251,26.459505173472053
4.55,0.65,5.05,6.796,105.7829,138.7982,26.571292206648355
4.6,0.65,5.05,6.83,102.4887,137.0103,26.71244695749076
4.6,0.65,5.1,6.868,108.6261,141.4046,26.583740128181216
4.65,0.65,5.1,6.9,105.2608,139.5623,37.29789169271325
4.75,0.65,5.15,7.006,104.5833,140.2234,26.92104803648682
4.85,0.65,5.2,7.11,103.7457,140.7107,37.75995093601693
4.95,0.65,5.25,7.214,102.7439,141.0321,27.46850048212425
4.25,0.7,4.75,6.372,104.0703,134.1609,27.23380018267309
4.35,0.7,4.8,6.476,103.6142,135.0237,27.41399356402852
4.4,0.7,4.85,6.548,106.5552,137.698,27.431236658718305
4.45,0.7,4.85,6.582,102.99,135.7869,27.63878455468002
4.45,0.7,4.9,6.618,109.55,140.3668,27.44846127959569
4.5,0.7,4.9,6.652,105.9052,138.4269,27.65781520434759
4.55,0.7,4.9,6.686,102.1926,136.3748,27.918220861223794
4.55,0.7,4.95,6.722,108.8737,141.0915,27.676807404481753
4.6,0.7,4.95,6.756,105.0797,139.0093,27.9388952958368
4.65,0.7,5.0,6.828,108.02,141.6991,27.959504030530987
4.7,0.7,5.0,6.862,104.074,139.4561,38.76915666163587
4.8,0.7,5.05,6.966,102.8826,139.6805,28.729452506804535
4.2,0.75,4.6,6.228,102.3978,132.6062,28.3331037458916
4.35,0.75,4.7,6.404,104.6538,136.0348,28.677762773464753
4.4,0.75,4.75,6.474,107.7298,138.7733,28.702454095020123
4.45,0.75,4.75,6.508,103.6665,136.5489,29.076308704985294
4.45,0.75,4.8,6.544,110.8648,141.5378,28.72699727157717
4.5,0.75,4.8,6.578,106.7102,139.2811,29.1025961766557
4.55,0.75,4.8,6.612,102.4782,136.8725,29.575232590601956
4.6,0.75,4.85,6.684,105.4869,139.6303,29.602875373150233
4.7,0.75,4.9,6.788,104.0541,139.7175,30.241492206550745
4.8,0.75,4.95,6.894,102.4057,139.5569,31.087558327923684
4.95,0.75,5.05,7.07,103.4824,141.7379,42.731612517544875
4.25,0.8,4.55,6.226,104.7481,135.2684,29.863694121910957
4.3,0.8,4.6,6.296,107.952,138.0925,29.89464848432478
4.35,0.8,4.6,6.33,103.5493,135.6868,30.426366222117018
4.4,0.8,4.65,6.4,106.7158,138.5036,40.743078060313806
4.45,0.8,4.65,6.436,102.1255,135.9173,31.14062112055109
4.45,0.8,4.7,6.472,109.9457,141.386,30.490732617188463
4.5,0.8,4.7,6.506,105.2519,138.725,31.173909674367696
4.55,0.8,4.75,6.576,108.4408,141.5607,41.502480493822986
4.6,0.8,4.75,6.612,103.5533,138.6663,32.11399151638243
4.65,0.8,4.8,6.682,106.6988,141.4903,42.45335862608522
4.75,0.8,4.85,6.788,104.7129,141.0478,43.785369024396374
4.85,0.8,4.9,6.894,102.4764,140.0487,45.96594189611871
5.0,0.8,5.0,7.07,103.0429,140.424,49.80783947596676
4.15,0.85,4.4,6.048,103.2992,133.5304,31.260814723315868
4.3,0.85,4.5,6.224,105.1204,136.7533,32.09518008088394
4.35,0.85,4.55,6.294,108.4414,139.6723,42.343093542252085
4.4,0.85,4.55,6.328,103.3928,136.7637,33.134623191245346
4.45,0.85,4.6,6.4,106.6671,139.7113,33.172834917983316
4.55,0.85,4.65,6.504,104.6297,139.3428,34.62041216421115
4.65,0.85,4.7,6.61,102.3216,138.4641,36.96807362586225
4.7,0.85,4.75,6.682,105.5605,141.4075,37.00202671671551
4.8,0.85,4.8,6.788,102.9176,139.0985,51.528322802940835
4.85,0.85,4.85,6.858,106.1674,141.9968,51.52832280269557
4.1,0.9,4.3,5.94,103.7132,133.8165,43.13850458251486
4.25,0.9,4.4,6.116,105.3519,136.9589,34.193992452176374
4.3,0.9,4.45,6.188,108.7985,140.0137,44.38118439030556
4.35,0.9,4.45,6.222,103.2865,136.7532,35.773275585273424
4.4,0.9,4.5,6.292,106.6793,139.7499,35.814995975389074
4.5,0.9,4.55,6.398,104.2664,138.9841,38.3408388310371
4.65,0.9,4.65,6.576,104.899,139.8469,53.20507180972785
4.05,0.95,4.2,5.834,102.8298,133.374,35.210059579993484
4.1,0.95,4.25,5.904,106.3487,136.4449,35.25949508324022
4.2,0.95,4.3,6.01,104.2217,136.3544,36.97485389446801
4.25,0.95,4.35,6.08,107.7622,139.4468,37.02145084356081
4.35,0.95,4.4,6.186,105.2619,138.8049,49.82396283584634
4.4,0.95,4.45,6.256,108.8196,141.913,39.7702089135798
4.45,0.95,4.45,6.292,102.4363,136.7842,54.843631066521446
4.5,0.95,4.5,6.362,105.9283,139.8584,54.84363106616845
4.05,1.0,4.15,5.798,104.2285,135.278,38.18848163493926
4.1,1.0,4.2,5.868,107.8944,138.4572,38.240335852960435
4.15,1.0,4.25,5.94,111.6449,141.7246,38.29151867670132
4.2,1.0,4.25,5.974,105.3248,137.9487,41.13346208311258
4.25,1.0,4.3,6.044,109.0092,141.1472,41.17861590356912
4.3,1.0,4.3,6.08,102.4075,136.0806,66.49145965167929
4.35,1.0,4.35,6.15,106.0215,139.2458,56.44904018581199
