A	B	C	b_limite	Volumen	Area
4.000000	0.300000	7.100000	8.148000	110.633600	148.497500
4.000000	0.300000	7.200000	8.236000	116.150000	152.980300
4.000000	0.300000	7.300000	8.324000	121.828300	157.518100
4.000000	0.300000	7.400000	8.410000	127.671300	162.100200
4.100000	0.300000	7.000000	8.112000	103.913200	143.579900
4.100000	0.300000	7.100000	8.198000	109.258100	148.010500
4.100000	0.300000	7.200000	8.284000	114.762700	152.495500
4.100000	0.300000	7.300000	8.372000	120.429200	157.046600
4.100000	0.300000	7.400000	8.458000	126.259900	161.641200
4.200000	0.300000	7.100000	8.248000	107.834900	147.486300
4.200000	0.300000	7.200000	8.334000	113.327800	151.985900
4.200000	0.300000	7.300000	8.420000	118.982100	156.539400
4.200000	0.300000	7.400000	8.508000	124.800800	161.159500
4.300000	0.300000	7.200000	8.386000	111.844000	151.449700
4.300000	0.300000	7.300000	8.472000	117.486100	156.018500
4.300000	0.300000	7.400000	8.558000	123.292600	160.641300
4.400000	0.300000	7.300000	8.522000	115.940400	155.447500
4.400000	0.300000	7.400000	8.608000	121.734200	160.085800
4.400000	0.300000	7.500000	8.694000	127.694400	164.777500
4.500000	0.300000	7.400000	8.660000	120.125100	159.501800
4.500000	0.300000	7.500000	8.746000	126.072500	164.209800
4.600000	0.300000	7.500000	8.798000	124.398900	163.602000
3.000000	0.400000	5.300000	6.090000	81.621950	111.807600
3.100000	0.400000	5.300000	6.140000	80.242610	111.254500
3.100000	0.400000	5.400000	6.226000	85.716650	115.823900
3.200000	0.400000	5.400000	6.276000	84.257260	115.238600
3.300000	0.400000	5.400000	6.328000	82.732280	114.614200
3.300000	0.400000	5.500000	6.414000	88.389370	119.298400
3.400000	0.400000	5.400000	6.380000	81.139970	113.933200
3.400000	0.400000	5.500000	6.466000	86.780340	118.640300
3.400000	0.400000	5.600000	6.550000	92.640340	123.404100
3.500000	0.400000	5.500000	6.518000	85.102000	117.924400
3.500000	0.400000	5.600000	6.602000	90.944690	122.712000
3.500000	0.400000	5.700000	6.688000	97.011000	127.585900
3.600000	0.400000	5.500000	6.572000	83.352610	117.162000
3.600000	0.400000	5.600000	6.656000	89.178050	121.975800
3.600000	0.400000	5.700000	6.740000	95.226780	126.859000
3.600000	0.400000	5.800000	6.826000	101.503100	131.828100
3.700000	0.400000	5.500000	6.628000	81.530620	116.348600
3.700000	0.400000	5.600000	6.710000	87.338420	121.176800
3.700000	0.400000	5.700000	6.794000	93.369570	126.086900
3.700000	0.400000	5.800000	6.878000	99.627850	131.066300
3.700000	0.400000	5.900000	6.964000	106.117300	136.131000
3.800000	0.400000	5.600000	6.766000	85.424350	120.326000
3.800000	0.400000	5.700000	6.850000	91.437390	125.265900
3.800000	0.400000	5.800000	6.932000	97.677500	130.258100
3.800000	0.400000	5.900000	7.016000	104.148600	135.333600
3.900000	0.400000	5.600000	6.824000	83.434030	119.418700
3.900000	0.400000	5.700000	6.906000	89.429000	124.377000
3.900000	0.400000	5.800000	6.988000	95.650610	129.399900
3.900000	0.400000	5.900000	7.072000	102.103500	134.504300
3.900000	0.400000	6.000000	7.156000	108.791100	139.676500
4.000000	0.400000	5.600000	6.880000	81.365700	118.422200
4.000000	0.400000	5.700000	6.962000	87.342260	123.416100
4.000000	0.400000	5.800000	7.044000	93.545330	128.472600
4.000000	0.400000	5.900000	7.128000	99.979400	133.608400
4.000000	0.400000	6.000000	7.210000	106.648400	138.794900
4.000000	0.400000	6.100000	7.294000	113.556100	144.063700
4.100000	0.400000	5.700000	7.020000	85.175580	122.392700
4.100000	0.400000	5.800000	7.102000	91.360020	127.486400
4.100000	0.400000	5.900000	7.184000	97.775090	132.642100
4.100000	0.400000	6.000000	7.266000	104.425000	137.861100
4.100000	0.400000	6.100000	7.348000	111.313500	143.144800
4.100000	0.400000	6.200000	7.432000	118.445000	148.510900
4.200000	0.400000	5.700000	7.080000	82.927490	121.300800
4.200000	0.400000	5.800000	7.160000	89.093070	126.421800
4.200000	0.400000	5.900000	7.242000	95.488970	131.615600
4.200000	0.400000	6.000000	7.322000	102.119500	136.855700
4.200000	0.400000	6.100000	7.406000	108.988300	142.188100
4.200000	0.400000	6.200000	7.488000	116.100300	147.570000
4.300000	0.400000	5.700000	7.140000	80.595900	120.120700
4.300000	0.400000	5.800000	7.220000	86.742270	125.287500
4.300000	0.400000	5.900000	7.300000	93.119010	130.509500
4.300000	0.400000	6.000000	7.380000	99.729760	135.788800
4.300000	0.400000	6.100000	7.462000	106.579400	141.142900
4.300000	0.400000	6.200000	7.544000	113.671300	146.558900
4.300000	0.400000	6.300000	7.626000	121.009700	152.038700
4.400000	0.400000	5.800000	7.280000	84.306300	124.063000
4.400000	0.400000	5.900000	7.360000	90.663540	129.331900
4.400000	0.400000	6.000000	7.440000	97.254900	134.655100
4.400000	0.400000	6.100000	7.520000	104.084400	140.034900
4.400000	0.400000	6.200000	7.602000	111.156300	145.489000
4.400000	0.400000	6.300000	7.684000	118.474500	151.004200
4.400000	0.400000	6.400000	7.766000	126.043200	156.582600
4.500000	0.400000	5.900000	7.420000	88.120740	128.062900
4.500000	0.400000	6.000000	7.498000	94.692170	133.420100
4.500000	0.400000	6.100000	7.580000	101.501800	138.859000
4.500000	0.400000	6.200000	7.660000	108.553300	144.339800
4.500000	0.400000	6.300000	7.742000	115.851300	149.893600
4.500000	0.400000	6.400000	7.822000	123.399400	155.492600
4.600000	0.400000	6.100000	7.640000	98.829800	137.594500
4.600000	0.400000	6.200000	7.720000	105.861100	143.121100
4.600000	0.400000	6.300000	7.800000	113.138300	148.702700
4.600000	0.400000	6.400000	7.880000	120.665800	154.341600
4.700000	0.400000	6.200000	7.780000	103.077500	141.812300
4.700000	0.400000	6.300000	7.860000	110.333800	147.440900
4.700000	0.400000	6.400000	7.940000	117.840400	153.123900
4.700000	0.400000	6.500000	8.020000	125.600900	158.863300
4.800000	0.400000	6.300000	7.920000	107.436300	146.087500
4.800000	0.400000	6.400000	7.998000	114.921600	151.803700
4.800000	0.400000	6.500000	8.080000	122.660700	157.603200
4.900000	0.400000	6.400000	8.060000	111.907700	150.420300
4.900000	0.400000	6.500000	8.140000	119.625300	156.254200
4.900000	0.400000	6.600000	8.220000	127.600600	162.140800
5.000000	0.400000	6.500000	8.200000	116.492500	154.810500
5.000000	0.400000	6.600000	8.280000	124.446100	160.747400
5.100000	0.400000	6.600000	8.340000	121.192600	159.257600
5.200000	0.400000	6.600000	8.402000	117.838300	157.679500
5.200000	0.400000	6.700000	8.480000	126.008600	163.762000
5.300000	0.400000	6.700000	8.542000	122.529200	162.136300
5.400000	0.400000	6.800000	8.682000	127.335200	166.649700
3.600000	0.500000	4.900000	6.080000	82.592790	113.547700
3.700000	0.500000	5.000000	6.220000	87.022420	117.882600
3.800000	0.500000	5.000000	6.280000	84.193720	116.503600
3.800000	0.500000	5.100000	6.360000	91.595390	122.290600
3.900000	0.500000	5.000000	6.340000	81.247290	115.005000
3.900000	0.500000	5.100000	6.420000	88.622570	120.854900
