    A       B       C     b_limite       Volumen           Area Superficial
  -2.000  -1.400  -0.400    2.0380               NaN     -6.268037E-02
  -2.000  -1.400  -0.300    2.0220               NaN     -1.997947E-02
  -2.000  -1.400  -0.200    2.0080               NaN     -3.631175E-03
  -2.000  -1.400  -0.100    2.0020               NaN     -2.087474E-04
  -2.000  -1.400   0.000    1.9980               NaN      0.000000E+00
  -2.000  -1.400   0.100    2.0020               NaN     -2.087474E-04
  -2.000  -1.400   0.200    2.0080               NaN     -3.631175E-03
  -2.000  -1.400   0.300    2.0220               NaN     -1.997947E-02
  -2.000  -1.400   0.400    2.0380               NaN     -6.268037E-02
  -2.000  -1.400   0.500    2.0600               NaN     -1.549308E-01
  -2.000  -1.400   0.600    2.0880               NaN     -3.261133E-01
  -2.000  -1.400   0.700    2.1180               NaN     -6.004362E-01
  -2.000  -1.400   0.800    2.1540               NaN     -1.028103E+00
  -2.000  -1.400   0.900    2.1920               NaN     -1.645811E+00
  -2.000  -1.400   1.000    2.2360               NaN     -2.521057E+00
  -2.000  -1.400   1.100    2.2820               NaN     -3.697779E+00
  -2.000  -1.400   1.200    2.3320               NaN     -5.256906E+00
  -2.000  -1.400   1.300    2.3840               NaN     -7.255770E+00
  -2.000  -1.400   1.400    2.4400               NaN     -9.806444E+00
  -2.000  -1.400   1.500    2.4980               NaN     -1.300538E+01
  -2.000  -1.400   1.600    2.5600               NaN     -1.697735E+01
  -2.000  -1.400   1.700    2.6240               NaN     -2.188846E+01
  -2.000  -1.400   1.800    2.6900               NaN     -2.793726E+01
  -2.000  -1.400   1.900    2.7580               NaN     -3.546812E+01
  -2.000  -1.400   2.000    2.8280      2.019510E+01     -4.561722E+01
  -2.000  -1.400   2.100    2.8980      2.936413E+01     -5.457616E+01
  -2.000  -1.400   2.200    2.9720      3.953915E+01     -6.317673E+01
  -2.000  -1.400   2.300    3.0460      5.077162E+01     -7.202032E+01
  -2.000  -1.400   2.400    3.1240      6.311303E+01     -8.132304E+01
  -2.000  -1.400   2.500    3.2000      7.661427E+01     -9.092693E+01
  -2.000  -1.400   2.600    3.2800      9.132655E+01     -1.010428E+02
  -2.000  -1.400   2.700    3.3600      1.073007E+02     -1.115389E+02
  -2.000  -1.400   2.800    3.4400      1.245873E+02     -1.224094E+02
  -2.000  -1.400   2.900    3.5220      1.432370E+02     -1.337374E+02
  -2.000  -1.400   3.000    3.6040      1.633002E+02     -1.454384E+02
  -2.000  -1.300  -2.000    2.8280      1.741312E+01     -4.127785E+01
  -2.000  -1.300  -1.900    2.7580               NaN     -3.200450E+01
  -2.000  -1.300  -1.800    2.6900               NaN     -2.517789E+01
  -2.000  -1.300  -1.700    2.6240               NaN     -1.971060E+01
  -2.000  -1.300  -1.600    2.5600               NaN     -1.527950E+01
  -2.000  -1.300  -1.500    2.4980               NaN     -1.169963E+01
  -2.000  -1.300  -1.400    2.4400               NaN     -8.818937E+00
  -2.000  -1.300  -1.300    2.3840               NaN     -6.523442E+00
  -2.000  -1.300  -1.200    2.3320               NaN     -4.725101E+00
  -2.000  -1.300  -1.100    2.2820               NaN     -3.323342E+00
  -2.000  -1.300  -1.000    2.2360               NaN     -2.265504E+00
  -2.000  -1.300  -0.900    2.1920               NaN     -1.479069E+00
  -2.000  -1.300  -0.800    2.1540               NaN     -9.238277E-01
  -2.000  -1.300  -0.700    2.1180               NaN     -5.395802E-01
  -2.000  -1.300  -0.600    2.0880               NaN     -2.929752E-01
  -2.000  -1.300  -0.500    2.0600               NaN     -1.392660E-01
  -2.000  -1.300  -0.400    2.0380               NaN     -5.636946E-02
  -2.000  -1.300  -0.300    2.0220               NaN     -1.796278E-02
  -2.000  -1.300  -0.200    2.0080               NaN     -3.273141E-03
  -2.000  -1.300  -0.100    2.0020               NaN     -1.887438E-04
  -2.000  -1.300   0.000    1.9980               NaN      0.000000E+00
  -2.000  -1.300   0.100    2.0020               NaN     -1.887438E-04
  -2.000  -1.300   0.200    2.0080               NaN     -3.273141E-03
  -2.000  -1.300   0.300    2.0220               NaN     -1.796278E-02
  -2.000  -1.300   0.400    2.0380               NaN     -5.636946E-02
  -2.000  -1.300   0.500    2.0600               NaN     -1.392662E-01
  -2.000  -1.300   0.600    2.0880               NaN     -2.929752E-01
  -2.000  -1.300   0.700    2.1180               NaN     -5.395803E-01
  -2.000  -1.300   0.800    2.1540               NaN     -9.238279E-01
  -2.000  -1.300   0.900    2.1920               NaN     -1.479069E+00
  -2.000  -1.300   1.000    2.2360               NaN     -2.265504E+00
  -2.000  -1.300   1.100    2.2820               NaN     -3.323342E+00
  -2.000  -1.300   1.200    2.3320               NaN     -4.725101E+00
